GF(5^3),0,1,x,x²,4x² + 3,x² + 3x + 2,2x² + 2x + 3,3x + 1,3x² + x,3x² + 4,2x² + 4x + 4,2x² + 4x + 1,2x² + x + 1,4x² + x + 1,2x² + x + 2,4x² + 2x + 1,3x² + x + 2,3x² + 2x + 4,4x² + 4x + 4,4x + 2,4x² + 2x,3x² + 2,2x² + 2x + 4,4x + 1,4x² + x,2x² + 2,3x² + 2x + 1,4x² + x + 4,2x² + 4x + 2,2x² + 2x + 1,x + 1,x² + x,3,3x,3x²,2x² + 4,3x² + 4x + 1,x² + x + 4,4x + 3,4x² + 3x,4x² + 2,x² + 2x + 2,x² + 2x + 3,x² + 3x + 3,2x² + 3x + 3,x² + 3x + 1,2x² + x + 3,4x² + 3x + 1,4x² + x + 2,2x² + 2x + 2,2x + 1,2x² + x,4x² + 1,x² + x + 2,2x + 3,2x² + 3x,x² + 1,4x² + x + 3,2x² + 3x + 2,x² + 2x + 1,x² + x + 3,3x + 3,3x² + 3x,4,4x,4x²,x² + 2,4x² + 2x + 3,3x² + 3x + 2,2x + 4,2x² + 4x,2x² + 1,3x² + x + 1,3x² + x + 4,3x² + 4x + 4,x² + 4x + 4,3x² + 4x + 3,x² + 3x + 4,2x² + 4x + 3,2x² + 3x + 1,x² + x + 1,x + 3,x² + 3x,2x² + 3,3x² + 3x + 1,x + 4,x² + 4x,3x² + 3,2x² + 3x + 4,x² + 4x + 1,3x² + x + 3,3x² + 3x + 4,4x + 4,4x² + 4x,2,2x,2x²,3x² + 1,2x² + x + 4,4x² + 4x + 1,x + 2,x² + 2x,x² + 3,4x² + 3x + 3,4x² + 3x + 2,4x² + 2x + 2,3x² + 2x + 2,4x² + 2x + 4,3x² + 4x + 2,x² + 2x + 4,x² + 4x + 3,3x² + 3x + 3,3x + 4,3x² + 4x,x² + 4,4x² + 4x + 3,3x + 2,3x² + 2x,4x² + 4,x² + 4x + 2,3x² + 2x + 3,4x² + 3x + 4,4x² + 4x + 2,2x + 2,2x² + 2x,0 soln's,1 soln,2 soln's,3 soln's,Total soln's
2x² + 3x + 3,2,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,42,62,1,20,124
x² + 3x + 1,2,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,42,60,3,20,126
2x² + x + 3,2,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,42,62,1,20,124
4x² + 3x + 1,2,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,42,60,3,20,126
4x² + x + 2,2,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,42,62,1,20,124
2x² + 2x + 2,2,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,42,60,3,20,126
2x + 1,2,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,42,62,1,20,124
2x² + x,2,1,1,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,42,60,3,20,126
4x² + 1,2,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,42,62,1,20,124
x² + x + 2,2,0,1,0,1,1,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,42,60,3,20,126
2x + 3,2,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,42,62,1,20,124
2x² + 3x,2,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,42,60,3,20,126
x² + 1,2,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,42,62,1,20,124
4x² + x + 3,2,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,42,60,3,20,126
2x² + 3x + 2,2,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,42,62,1,20,124
x² + 2x + 1,2,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,42,60,3,20,126
x² + x + 3,2,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,42,62,1,20,124
3x + 3,2,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,42,60,3,20,126
3x² + 3x,2,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,42,62,1,20,124
4,2,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,42,60,3,20,126
4x,2,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,42,62,1,20,124
4x²,2,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,42,60,3,20,126
x² + 2,2,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,42,62,1,20,124
4x² + 2x + 3,2,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,42,60,3,20,126
3x² + 3x + 2,2,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,42,62,1,20,124
2x + 4,2,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,42,60,3,20,126
2x² + 4x,2,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,42,62,1,20,124
2x² + 1,2,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,42,60,3,20,126
3x² + x + 1,2,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,42,62,1,20,124
3x² + x + 4,2,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,42,60,3,20,126
3x² + 4x + 4,2,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,42,62,1,20,124
x² + 4x + 4,2,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,42,60,3,20,126
3x² + 4x + 3,2,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,42,62,1,20,124
x² + 3x + 4,2,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,42,60,3,20,126
2x² + 4x + 3,2,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,42,62,1,20,124
2x² + 3x + 1,2,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,42,60,3,20,126
x² + x + 1,2,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,42,62,1,20,124
x + 3,2,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,42,60,3,20,126
x² + 3x,2,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,42,62,1,20,124
2x² + 3,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,1,1,1,0,2,42,60,3,20,126
3x² + 3x + 1,2,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,42,62,1,20,124
x + 4,2,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,1,1,42,60,3,20,126
x² + 4x,2,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,42,62,1,20,124
3x² + 3,2,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,42,60,3,20,126
2x² + 3x + 4,2,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,42,62,1,20,124
x² + 4x + 1,2,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,42,60,3,20,126
3x² + x + 3,2,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,3,1,1,0,0,1,0,0,3,1,1,3,0,3,1,3,1,1,0,0,0,0,3,3,0,3,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,3,0,1,1,1,0,42,62,1,20,124
3x² + 3x + 4,2,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,0,3,0,1,1,1,0,2,0,1,1,1,0,0,3,3,1,1,0,1,1,3,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,3,3,1,0,3,3,0,1,1,3,1,1,1,0,1,0,1,0,1,1,42,60,3,20,126
